symbol,tradePrice
515210,1.357
177,8.9
TEC,25.0
300145,2.96
GNL,18.61
REE,13.85
NTGR,41.75
300506,4.54
3231,2463.0
136480A,2820.0
3377,392.0
058400A,1930.0
TFG,106.19
3309,6.11
6198,4.38
1691,19.84
ML,118.55
ECX,2.05
000717,4.43
2918,1691.0
EAST,14.55
CNC,3.48
AHT,3.75
MISC,6.75
603719,64.95
AGS,46.56
F&N,29.9
002638,1.61
300232,8.8
6715,128.5
TUB,78.4
DGII,23.27
2038,18.85
EXR,0.2
1168,0.44
PEN,20.6
PAG,4.588
002651,11.69
BCC,46.34
SMMV,36.44
IVV,388.94
AVCT,7.3
300716,7.29
INS,42.72
00703,27.68
EDEN,47.07
BARI11,113.49
2204,48.55
00683L,16.52
300204,8.08
8511,606.0
NNG,8.0
300294,27.72
CEN,10.57
CRC,33.0
300383,19.58
TA,11.62
2474,195.0
HPQ,27.38
HBB,17.83
KRONO,0.84
1931,2.28
300385,6.85
1911,2013.0
002227,13.78
KGH,203.4
000901,8.34
000596,241.54
FND,98.17
PGX,14.66
2696,38.1
ATS,3.92
ROG,184.58
1383,0.77
1537,143.5
2313,44.05
300414,9.38
1836,9.21
FBK,14.875
007610A,3420.0
002547,4.05
UBSI,37.64
CASS,42.69
2005,4.29
BYND,149.42
ADES,5.96
000004,18.93
ET,13.53
002022,15.72
002493,35.53
DJCO,346.3
2763,1458.0
002179,67.8
HCLTECH,916.0
FIXD,53.66
300177,9.57
002304,198.5
DMSAS,7.88
000090,6.01
PZC,2.51
GRNH,0.04
TOA,6.5
2890,11.8
NEX,4.86
300055,5.9
002011,3.85
002231,4.48
064510A,1465.0
GLTR,97.53
EPP,9.25
LE,29.62
2360,214.0
SUP,1.8
000600,4.91
1501,38.2
1599,2.08
ESI,17.88
000028,39.1
SIFY,3.35
HEFA,31.9
603605,175.75
BOOM,3.975
TDG,604.3
300586,7.79
000719,7.17
300049,7.59
6224,124.0
002362,21.07
CAG,1.56
1858,19.84
RL,0.615
2362,1.42
002137,5.84
PRN,1.18
6996,1117.0
2820,2065.0
1COV,60.94
7177,953.0
GSBD,17.9
SMAL11,132.99
908,2.95
2227,257.5
HIBISCS,0.705
1268,27.7
4571,123.5
2462,28.8
BGS,31.56
ECV,17.8
BAIGABUA,112.5
300483,32.82
MCB,0.814
WHR,192.81
002531,7.93
DOG,37.81
2889,13.7
512,6.17
NVPT.L,13.78
004000A,52700.0
SNDL,1.26
IVH,13.29
CASH,44.71
MSM,85.53
159982,1.397
AOT,1.18
2342,2.42
300102,5.82
002765,4.74
1938,2414.0
EPRO B,45.74
000793,2.21
ORCL,64.5
ORHD,5.23
MAALT,220.5
116,10.3
300119,25.5
300317,6.13
EMRI,5.98
000628,9.19
074600A,19700.0
DIA,158.2
2908,1991.0
GAM,38.56
2128,14.46
NOR,135.5
002404,6.19
8462,675.0
2014,16.5
002724,6.87
002537,5.93
2270,2211.0
ROKU,415.87
2441,71.2
SMSI,6.99
BBUS,1.42
600879,7.16
002641,6.44
1734,31.4
1833,116.8
FLR,19.46
3998,3.36
1310,10.86
000861,2.22
2726,1644.0
1675,12.52
DCP,22.7
VOC,2.95
002182,12.43
002235,3.81
300054,19.28
002467,5.8
1515,6.57
002007,44.6
SIVR,26.75
002539,10.09
002830,9.11
002151,44.71
RMI,31.4
002164,8.53
300318,9.31
097520A,54100.0
RRC,10.43
2910,1538.0
SL,20.7
SIG,0.655
2020,20.05
6118,5.19
PAGS,58.05
002422,21.88
000538,138.0
SRBANK,99.6
6706,2870.0
ALHYG,0.258
065660A,60500.0
ING,181.6
2601,9.97
DNP,10.62
3686,322.0
LH,247.15
823,72.5
300514,9.96
064550A,16100.0
046390A,3740.0
SOYB,21.09
ATEC,22.4
HUM,0.22
002663,1.73
REG,55.22
300443,37.08
TKO,24.8
002310A,45300.0
IIN,21.81
LIT,0.145
ADUS,115.09
MHI,12.03
IHL,0.22
SFOR,4.4
DLRTRAC 15,20.02
300002,4.55
CARLSBG,23.3
002271,47.3
PSL,91.185
ISPY,17.0775
SENS,1.488
CORP,106.82
7047,679.0
300566,43.48
300389,8.08
ICAD,59.65
2425,785.0
002499,6.66
000806,1.7
600802,7.76
PTNQ,52.6377
DAN,23.32
000572,3.01
AIT,20.1
002100,12.81
2885,21.6
000045,7.28
TEN,10.7
RUL,1.145
BARN,1997.0
HASI,56.99
PURA,0.032
SCI,53700.0
HMSP,1350.0
1456,4330.0
DWSH,9.79
ZION,54.17
4564,130.0
HLT,0.99
002114,7.0
002740,4.74
HONE,11.95
PANL,2.98
RCH,2.3
1830,4.96
012200A,4560.0
PRSR,0.88
159987,1.681
300617,41.21
002329,3.98
6158,1092.0
515330,1.402
PRGO,42.5
4848,1981.0
LSE,95.8
9921,287.0
068050A,5200.0
014130A,6110.0
ASC,46.45
151,5.79
NLMK,28.48
MYPK3,12.85
5208,977.0
300830,10.69
THULE,345.0
002261,6.94
600890,3.5
AIF,14.64
AVA,38.82
EWX,55.45
WRE,23.43
002256,1.45
CTK,63.83
BIMBOA,38.03
300082,12.38
002331,12.9
B,53.89
4934,27.05
WOW,39.5
ELF,25.38
MELI,1775.79
002064,15.73
2437,474.0
UONEK,1.64
WMH,2.711
3315,103.0
8163,876.0
PEO,65.6
ACA,11.66
NSPR,0.94
BLE,15.149
LRE,4.785
159810,1.181
300265,9.16
7705,2366.0
1515,5940.0
2108,63.2
2562,2716.0
300162,5.55
300546,13.55
ARW,2.715
ANTARCHILE,8400.0
002357,4.66
2899,12.46
000038,10.05
002106,10.97
002747,30.77
1414,4615.0
600570,93.2
002445,1.84
ENELCHILE,53.41
BOCH,10.4
600397,2.47
BAKAB,25.24
000970A,8470.0
1349,4.82
000667,1.85
EQAL,42.01
IGM,34.68
2107,24.1
EG,0.86
GAM,2.348
600594,5.21
1217,8.74
GOCO,1.144
SVI,3.69
000150,2.29
124560A,4845.0
131400A,4630.0
SIG,49.4
115390A,14100.0
1414,13.05
3932,4355.0
1987,2.93
USIG,60.07
002338,16.33
CRL,16.7
002579,12.41
6698,44.15
4092,3215.0
FDEV,25.75
002250,24.06
200,16.28
CIR,34.25
CIE,22.24
600711,8.92
KOF,43.96
BFIT,34.8
THRM,72.3
LEG,114.24
300457,21.02
2301,1417.0
LSXMA,44.12
1718,9.6
002403,7.5
002849,11.21
2337,45.65
D,72.04
KNRI11,157.82
601882,12.38
002091,6.44
300020,7.94
STG,114.3
2922,2023.0
4078,1957.0
002749,11.15
002252,7.69
1951,2729.0
6196,116.5
CGC,0.201
300369,12.91
600082,2.86
ADS,91.18
ADM,57.02
CSU,1704.54
1610,5.35
NHC,1.265
600684,2.85
1908,12.54
1099,18.12
2369,15.75
EFR,6.84
3661,881.0
FN,88.12
297,1.25
1945,902.0
2328,5.93
SPT,2.38
000637,3.81
SRS,0.676
EKI,6.69
000400,14.03
RCM,27.96
300419,6.67
ALADO,0.398
000560,3.93
SISB,8.45
SNG,6.1
MTRX,13.72
RJF,5.98
CPS,27.4
1205,0.395
002705,45.79
PADV,41.05
3836,3.3
539957,1135.15
HEIA,85.82
9424,273.0
300027,4.04
DTC,26.42
EML,25.54
JDG,59.0
VEIL,6.03
300665,10.12
3900,10.14
1365,25760.0
TMDX,36.82
DNP,247.4
300640,6.7
SMDS,3.84
2228,77.5
002875,8.12
002714,121.93
002709,85.08
002865,20.19
002354,2.66
3453,268000.0
AIA,7.3
IDGYO,11.07
ORI,15.03
KEX,64.45
6185,354.2
WMS,108.92
SCHO,51.36
