companyId,symbol,tradePrice,lastClosePrice,slippage
656830889,515210,1.357,1.413,-3.963198867657469
882722,177,8.9,9.35,-4.8128342245989275
599100427,TEC,25.0,25.11,-0.43807248108322927
83112805,300145,2.96,2.99,-1.0033444816053616
142250097,GNL,18.61,18.51,0.5402485143165769
562968,REE,13.85,14.675,-5.621805792163547
166754,NTGR,41.75,42.54,-1.8570756934649713
264171050,300506,4.54,4.55,-0.219780219780219
28829264,3231,2463.0,2415.0,1.9875776397515477
118958081,136480A,2820.0,2930.0,-3.754266211604096
6492551,3377,392.0,394.0,-0.5076142131979711
99079778,058400A,1930.0,2115.0,-8.747044917257686
874613,TFG,106.19,105.85,0.32120925838450276
547018987,3309,6.11,6.71,-8.941877794336806
264504741,6198,4.38,4.44,-1.3513513513513598
639004385,1691,19.84,21.9,-9.406392694063925
874842,ML,118.55,120.05,-1.2494793835901685
290065056,ECX,2.05,2.12,-3.301886792452846
5502582,000717,4.43,4.59,-3.4858387799564294
883960,2918,1691.0,1716.0,-1.4568764568764547
20501440,EAST,14.55,14.51,0.2756719503790528
646290298,CNC,3.48,3.63,-4.1322314049586755
5647906,AHT,3.75,3.9,-3.8461538461538436
874986,MISC,6.75,6.7,0.746268656716409
572625300,603719,64.95,64.5,0.6976744186046657
876955,AGS,46.56,47.23,-1.4185898793139806
879218,F&N,29.9,29.8,0.3355704697986406
54498392,002638,1.61,1.61,0.0
99395479,300232,8.8,8.83,-0.3397508493771184
248753425,6715,128.5,125.0,2.8000000000000025
9622521,TUB,78.4,78.0,0.512820512820511
266694,DGII,23.27,23.76,-2.0622895622895654
22727874,2038,18.85,18.1,4.143646408839774
12006647,EXR,0.2,0.205,-2.4390243902438935
6562469,1168,0.44,0.47,-6.382978723404253
106684027,PEN,20.6,18.44,11.713665943600859
876751,PAG,4.588,4.442,3.2868077442593346
144745781,002651,11.69,10.7,9.25233644859813
26014489,BCC,46.34,52.06,-10.987322320399539
346154518,SMMV,36.44,36.6,-0.43715846994536456
8797798,IVV,388.94,388.53,0.10552595681156962
529623070,AVCT,7.3,7.98,-8.521303258145373
254342746,300716,7.29,7.15,1.958041958041945
21129,INS,42.72,44.56,-4.129263913824066
533889000,00703,27.68,29.37,-5.754170922710255
20424975,EDEN,47.07,47.46,-0.821744627054366
603650370,BARI11,113.49,113.2,0.25618374558302737
9221998,2204,48.55,48.1,0.9355509355509328
423268255,00683L,16.52,16.58,-0.3618817852834688
118531133,300204,8.08,8.27,-2.2974607013301007
874398,8511,606.0,611.0,-0.8183306055646433
540749939,NNG,8.0,8.15,-1.8404907975460127
170940831,300294,27.72,26.73,3.703703703703698
239219088,CEN,10.57,10.44,1.245210727969348
11190048,CRC,33.0,31.5,4.761904761904767
205273645,300383,19.58,19.37,1.0841507485802593
878219,TA,11.62,12.0,-3.166666666666673
4596653,2474,195.0,194.0,0.5154639175257714
108856,HPQ,27.38,27.12,0.9587020648967437
534937823,HBB,17.83,17.75,0.4507042253520943
277855371,KRONO,0.84,0.865,-2.8901734104046284
625580230,1931,2.28,2.35,-2.9787234042553346
248079198,300385,6.85,6.99,-2.002861230329045
877185,1911,2013.0,2099.0,-4.097189137684609
44152242,002227,13.78,13.2,4.3939393939393945
882350,KGH,203.4,210.3,-3.2810271041369465
12763384,000901,8.34,8.32,0.24038461538460343
8069420,000596,241.54,235.1,2.7392598894087516
270357747,FND,98.17,98.18,-0.010185373803228703
40538756,PGX,14.66,14.66,0.0
240641776,2696,38.1,40.1,-4.987531172069826
4493308,ATS,3.92,3.94,-0.5076142131979711
188099,ROG,184.58,191.89,-3.809474177914418
32526561,1383,0.77,0.76,1.3157894736842035
9794168,1537,143.5,142.0,1.0563380281690238
9429145,2313,44.05,45.0,-2.111111111111119
145452009,300414,9.38,9.55,-1.7801047120418856
35021861,1836,9.21,9.42,-2.2292993630573132
13619757,FBK,14.875,14.69,1.2593601089176287
9850035,007610A,3420.0,3725.0,-8.187919463087246
102333410,002547,4.05,4.07,-0.49140049140050657
310025,UBSI,37.64,37.05,1.5924426450742324
369520,CASS,42.69,42.99,-0.6978367062107527
24349948,2005,4.29,4.32,-0.6944444444444531
